Serial No.,CustomerID,Age,Gender,City_Tier,Loan_Type,Credit_Score,Monthly_Income,Loan_Amount,Tenure_Months,EMI,DTI_Ratio,Default
1290,CUST01290,49,Male,Tier 2,Personal,326,109525,406449,36,13694.873097786021,0.1250387865581924,0
1291,CUST01291,41,Male,Tier 3,Personal,807,125230,581101,60,13221.833499071694,0.10558040005646965,0
1292,CUST01292,31,Female,Tier 1,Personal,826,103519,600638,72,12057.270402988517,0.11647398451480905,1
1293,CUST01293,60,Male,Tier 2,MSME,664,73636,1317209,12,117649.51942299794,1.5977174129909004,0
1294,CUST01294,31,Male,Tier 1,Personal,597,70639,263525,60,5996.003573979167,0.08488233941560848,1
1295,CUST01295,56,Female,Tier 1,Auto,660,55685,1863299,60,42395.77825022979,0.7613500628576779,0
1296,CUST01296,59,Female,Tier 1,Personal,803,30739,1318078,72,26459.23644230018,0.8607708917759258,1
1297,CUST01297,60,Male,Tier 2,Personal,887,35704,1263623,60,28751.30641936164,0.8052684970692819,1
1298,CUST01298,55,Male,Tier 1,MSME,329,110688,1516784,12,135475.01472317037,1.2239358803408713,1
1299,CUST01299,54,Female,Tier 2,Personal,738,62383,224808,48,6031.035696885534,0.09667755152662638,0
1300,CUST01300,44,Female,Tier 1,MSME,639,39307,182309,12,16283.343217733354,0.414260646137669,1
1301,CUST01301,42,Female,Tier 3,Personal,425,19716,579231,72,11627.544032834156,0.5897516754328543,1
1302,CUST01302,25,Male,Tier 3,Personal,895,115924,1283565,60,29205.048202009562,0.251932716279714,0
1303,CUST01303,53,Male,Tier 3,Home,865,57928,1228833,24,58420.960476834414,1.008509882558252,0
1304,CUST01304,56,Male,Tier 3,Personal,665,28587,1190631,24,56604.7677703104,1.9800877241512016,0
1305,CUST01305,40,Female,Tier 3,Personal,742,16195,142292,36,4794.379818452422,0.2960407421088251,0
1306,CUST01306,39,Female,Tier 3,Personal,562,140711,1076100,48,28869.06833128057,0.2051656823651354,1
1307,CUST01307,55,Female,Tier 2,Auto,521,130982,464436,84,8449.002689852017,0.0645050670309815,0
1308,CUST01308,63,Male,Tier 1,MSME,301,35009,491014,84,8932.508691735778,0.2551489243261955,1
1309,CUST01309,37,Female,Tier 1,Auto,693,121172,1651558,72,33153.54904654535,0.27360734366475215,0
1310,CUST01310,63,Male,Tier 1,Home,605,116123,1782186,36,60048.88954493892,0.5171145211968251,1
1311,CUST01311,54,Female,Tier 2,Personal,445,28696,1309126,84,23815.57221092941,0.8299265476348415,1
1312,CUST01312,29,Male,Tier 2,Auto,829,143733,476443,36,16053.247574304442,0.11168797405122305,0
1313,CUST01313,46,Male,Tier 3,Home,827,22564,1074649,24,51090.77210285664,2.264260419378507,0
1314,CUST01314,22,Female,Tier 3,Personal,607,18637,1176881,12,105115.80475691955,5.64016766415837,1
1315,CUST01315,29,Male,Tier 2,Auto,639,108695,1573831,36,53028.58617529302,0.4878659200082158,0
1316,CUST01316,29,Female,Tier 2,Personal,651,27568,234992,36,7917.809169157589,0.28721014107507215,0
1317,CUST01317,60,Male,Tier 3,Personal,508,108539,60447,84,1099.649608543448,0.010131377740198897,1
1318,CUST01318,37,Female,Tier 1,Auto,504,85847,301740,48,8094.928610984666,0.09429483396023934,0
1319,CUST01319,21,Female,Tier 2,Auto,314,56596,1172621,84,21332.278254004774,0.3769220131105515,1
1320,CUST01320,45,Male,Tier 1,Home,727,53315,859297,24,40852.54552478846,0.766248626555162,0
1321,CUST01321,63,Female,Tier 2,MSME,775,32191,891882,12,79660.47049634664,2.4746193189508445,0
1322,CUST01322,60,Male,Tier 1,Personal,597,132083,66134,48,1774.209613438258,0.01343253570435452,0
1323,CUST01323,62,Female,Tier 3,Personal,856,35908,304819,12,27225.60266517979,0.7582043740999163,0
1324,CUST01324,45,Female,Tier 2,MSME,393,147487,626666,84,11400.284903923906,0.07729687975159781,0
1325,CUST01325,59,Female,Tier 1,Personal,406,55276,983705,12,87861.85070402661,1.5895117357266555,1
1326,CUST01326,55,Female,Tier 1,Personal,718,62650,156889,36,5286.210435844475,0.0843768625035032,0
1327,CUST01327,23,Male,Tier 2,Personal,577,79427,462152,48,12398.380882295305,0.15609781160430716,1
1328,CUST01328,57,Female,Tier 3,Personal,427,99369,1308442,36,44086.58194709136,0.4436653478156303,1
1329,CUST01329,64,Female,Tier 2,Personal,758,109957,767112,60,17454.15536910087,0.15873619113927145,0
1330,CUST01330,64,Male,Tier 2,Home,337,92316,770669,12,68834.05555549833,0.7456351613533768,1
1331,CUST01331,50,Male,Tier 1,Auto,497,54871,727122,48,19506.862469266234,0.3555040452928912,0
1332,CUST01332,58,Male,Tier 2,MSME,656,27221,839660,24,39918.96675461905,1.4664768654575162,0
1333,CUST01333,54,Male,Tier 2,Home,306,36116,1157981,36,39016.95623472405,1.080323298115075,0
1334,CUST01334,32,Male,Tier 2,Auto,855,56474,164764,60,3748.8873270585464,0.06638253580512353,0
1335,CUST01335,39,Male,Tier 1,Home,631,55100,381090,72,7650.040753124002,0.13883921512021782,0
1336,CUST01336,57,Female,Tier 2,Personal,818,132982,1754344,60,39916.71717669636,0.300166317070704,1
1337,CUST01337,64,Male,Tier 2,Personal,493,20416,1741644,60,39627.75314903471,1.9410145547136908,1
1338,CUST01338,37,Female,Tier 3,Home,615,30251,1146073,36,38615.72865426885,1.2765108146596427,0
1339,CUST01339,30,Male,Tier 3,Personal,300,69822,1884830,24,89608.25346939072,1.283381362169384,1
1340,CUST01340,32,Female,Tier 2,Home,361,58655,1149995,84,20920.666891275374,0.35667320588654633,0
1341,CUST01341,36,Female,Tier 2,Home,642,148099,1812023,48,48612.03959190784,0.3282401609187627,0
1342,CUST01342,44,Female,Tier 1,Home,317,104091,1742080,12,155597.83967192468,1.4948251018044276,1
1343,CUST01343,39,Male,Tier 3,Personal,670,15315,1480982,24,70408.58350068981,4.597360986006517,0
1344,CUST01344,28,Male,Tier 2,MSME,878,113834,186845,36,6295.546462055089,0.05530462306564901,0
1345,CUST01345,51,Male,Tier 1,Personal,870,123898,1020490,72,20485.423622124727,0.16534103554637467,1
1346,CUST01346,41,Male,Tier 1,Home,534,66011,938733,48,25183.85570284175,0.38150998625746846,0
1347,CUST01347,37,Female,Tier 3,Personal,368,55640,502391,12,44872.19546210158,0.8064736783267717,1
1348,CUST01348,43,Male,Tier 1,Personal,746,128802,1560029,72,31316.186271104678,0.2431343167893719,0
1349,CUST01349,57,Female,Tier 2,Personal,307,106331,954832,48,25615.751559235472,0.24090577121662987,1
1350,CUST01350,36,Female,Tier 2,Personal,761,43798,709267,12,63349.79619224549,1.4464084248651878,0
1351,CUST01351,26,Male,Tier 1,MSME,610,123262,1617536,84,29426.15562732534,0.23872852645036866,0
1352,CUST01352,28,Male,Tier 1,Personal,433,114371,850273,12,75944.06797125646,0.6640150734998947,0
1353,CUST01353,45,Male,Tier 3,Home,684,46461,1451586,60,33028.04228797315,0.7108766984777157,0
1354,CUST01354,38,Female,Tier 3,MSME,355,114031,1017331,72,20422.009523777568,0.17909173403528486,0
1355,CUST01355,45,Male,Tier 1,Home,659,97163,759439,72,15245.058383877138,0.15690189047144631,0
1356,CUST01356,32,Female,Tier 3,Auto,413,78496,784303,36,26426.267638037905,0.33665750659954524,1
1357,CUST01357,35,Male,Tier 2,Auto,387,106897,504683,24,23993.54964940738,0.22445484578058675,1
1358,CUST01358,46,Female,Tier 2,Auto,437,81247,1015595,84,18475.667017199914,0.2274012211798579,0
1359,CUST01359,61,Male,Tier 2,Personal,407,108262,1153077,60,26236.04520661484,0.24233844937849697,0
1360,CUST01360,46,Male,Tier 3,Personal,799,96085,111855,60,2545.0449853616915,0.026487432849681965,0
1361,CUST01361,52,Female,Tier 2,Auto,834,142061,1196311,48,32094.028440165963,0.22591723583647844,0
1362,CUST01362,30,Male,Tier 1,Personal,443,73852,301928,72,6060.9344367714275,0.08206865672928867,1
1363,CUST01363,36,Male,Tier 3,Personal,355,123293,1190398,12,106323.10637271527,0.8623612562977239,0
1364,CUST01364,27,Male,Tier 2,MSME,305,17560,725219,12,64774.585374399314,3.6887577092482524,0
1365,CUST01365,37,Male,Tier 1,Auto,841,34944,1433072,84,26070.393300156768,0.7460620793314093,0
1366,CUST01366,43,Male,Tier 2,Personal,746,82713,492909,48,13223.514173499838,0.15987225917932898,0
1367,CUST01367,46,Male,Tier 2,Personal,684,35098,984052,72,19753.963376612293,0.5628230490800699,0
1368,CUST01368,41,Male,Tier 3,MSME,606,42475,1584159,36,53376.577311583016,1.2566586771414483,0
1369,CUST01369,42,Female,Tier 2,Home,601,131338,1744644,12,155826.84916684963,1.1864566931645801,0
1370,CUST01370,27,Female,Tier 1,Personal,704,17948,1574696,60,35829.173110447584,1.9962766386476256,1
1371,CUST01371,34,Male,Tier 2,Auto,861,148592,1707445,60,38849.62080399529,0.26145163133947513,0
1372,CUST01372,35,Male,Tier 2,Personal,809,142294,955588,72,19182.574046016052,0.13480943712325222,0
1373,CUST01373,27,Male,Tier 1,Auto,372,77976,869817,12,77689.68480776687,0.9963281626111479,1
1374,CUST01374,29,Female,Tier 2,Personal,863,29020,1307289,12,116763.4920479374,4.023552448240434,1
1375,CUST01375,28,Female,Tier 3,Auto,564,107816,467860,36,15764.052384260185,0.14621255086684895,0
1376,CUST01376,43,Male,Tier 1,Personal,526,79566,1104215,72,22166.128080534305,0.2785879405843489,0
1377,CUST01377,49,Female,Tier 2,Personal,492,124014,1325514,12,118391.29939778402,0.954660759251246,0
1378,CUST01378,38,Male,Tier 1,Auto,673,82792,913584,36,30782.255446975498,0.37180229305942,0
1379,CUST01379,51,Male,Tier 1,Auto,309,120656,332724,60,7570.4934755664335,0.0627444426764225,0
1380,CUST01380,50,Male,Tier 1,Auto,601,108248,1983312,36,66825.61933555301,0.6173381432964398,1
1381,CUST01381,59,Male,Tier 1,Home,658,93372,339118,12,30289.09590481709,0.3243916367306804,0
1382,CUST01382,55,Female,Tier 3,Personal,351,19358,1616726,24,76862.10066613655,3.9705600096154847,1
1383,CUST01383,38,Female,Tier 1,Home,398,47039,488589,72,9807.986988711596,0.2085075573186419,0
1384,CUST01384,62,Male,Tier 2,MSME,892,134985,425406,84,7738.970360349301,0.05733207660369153,0
1385,CUST01385,59,Female,Tier 1,Auto,312,36245,1325734,12,118410.94919844062,3.266959558516778,0
1386,CUST01386,37,Female,Tier 3,Personal,689,144024,1146188,24,54491.866549011844,0.3783526811435028,0
1387,CUST01387,34,Male,Tier 2,Personal,656,32259,1516553,60,34506.241184437255,1.0696624565063162,0
1388,CUST01388,51,Female,Tier 2,Personal,310,76086,308775,72,6198.381835119954,0.0814654711132134,0
1389,CUST01389,44,Male,Tier 1,Personal,380,91747,584989,84,10642.098447436982,0.11599396653227878,0
1390,CUST01390,55,Male,Tier 2,MSME,560,145196,857254,48,22997.978164913664,0.15839264280636975,0
1391,CUST01391,64,Male,Tier 1,Personal,305,96164,327114,72,6566.520850500943,0.06828460599081718,1
1392,CUST01392,54,Male,Tier 3,MSME,757,98048,661016,60,15040.145331400865,0.15339573812215307,0
1393,CUST01393,23,Female,Tier 2,Personal,672,137262,347991,60,7917.864641732604,0.057684316429402194,0
1394,CUST01394,57,Male,Tier 2,MSME,780,80124,73103,60,1663.3178987519173,0.020759296824321267,0
1395,CUST01395,63,Female,Tier 2,MSME,521,50609,500695,36,16870.393298288276,0.3333476910883099,1
1396,CUST01396,60,Male,Tier 1,MSME,380,79403,1869006,84,34000.88865064198,0.4282065998846641,1
1397,CUST01397,46,Male,Tier 2,Personal,814,92538,1324041,60,30126.001586547576,0.3255527630438044,1
1398,CUST01398,43,Female,Tier 2,Home,359,63478,1600974,48,42950.123411024615,0.676614313794143,1
1399,CUST01399,64,Male,Tier 2,Home,520,77525,1574639,12,140642.46570947365,1.8141562813218142,0
1400,CUST01400,59,Female,Tier 2,MSME,648,84248,1421507,24,67581.03360224167,0.8021678093514585,0
1401,CUST01401,35,Female,Tier 1,Auto,860,144210,198016,72,3974.994016559349,0.027563927720403225,0
1402,CUST01402,24,Male,Tier 1,Auto,527,54826,542709,72,10894.39756248438,0.19870859742611863,0
1403,CUST01403,49,Male,Tier 3,Personal,589,34328,820945,60,18679.021550290585,0.5441336969905204,1
1404,CUST01404,42,Male,Tier 2,Auto,592,98247,1637838,24,77865.80362462394,0.792551463399635,0
1405,CUST01405,45,Male,Tier 2,MSME,492,20906,359128,60,8171.265616226127,0.39085743883220736,0
1406,CUST01406,33,Male,Tier 3,Personal,773,44107,1145469,36,38595.37750725886,0.8750397330867858,1
1407,CUST01407,38,Male,Tier 1,Personal,556,66412,1592464,24,75708.64096649554,1.1399843547325113,0
1408,CUST01408,53,Female,Tier 3,MSME,805,98349,1620480,60,36870.899806704336,0.37489857351578904,0
1409,CUST01409,36,Female,Tier 3,Auto,687,61213,993818,60,22612.41354666475,0.36940541301136604,0
1410,CUST01410,62,Male,Tier 3,Personal,697,128632,1390572,48,37305.56461998466,0.2900177608991904,0
1411,CUST01411,64,Female,Tier 3,Personal,665,99388,1365673,48,36637.5867997258,0.36863189519585665,0
1412,CUST01412,22,Female,Tier 1,Personal,589,127958,795178,84,14465.849031752807,0.1130515405973273,0
1413,CUST01413,55,Male,Tier 1,Auto,608,45907,388917,48,10433.669220515423,0.22727839372024797,0
1414,CUST01414,62,Male,Tier 2,Home,577,110707,1332332,84,24237.7349124011,0.2189358840217972,0
1415,CUST01415,54,Female,Tier 1,Auto,763,144185,864880,36,29141.225208607164,0.2021099643416941,0
1416,CUST01416,50,Male,Tier 1,Personal,488,68551,606059,84,11025.403115195686,0.1608350442035227,0
1417,CUST01417,33,Female,Tier 2,Personal,477,122412,1150126,24,54679.08624636517,0.44668076860410066,1
1418,CUST01418,33,Male,Tier 1,Personal,827,49018,105378,36,3550.601274202902,0.07243464184999188,0
1419,CUST01419,38,Female,Tier 3,MSME,674,74542,1284543,12,114731.88129459793,1.5391575393013057,0
1420,CUST01420,52,Female,Tier 3,Personal,897,78534,292329,60,6651.383089944999,0.08469431188969107,0
1421,CUST01421,52,Female,Tier 3,Personal,753,51555,239809,60,5456.391693662347,0.10583632419090966,0
1422,CUST01422,55,Female,Tier 2,Personal,516,111915,1690988,60,38475.173480906495,0.3437892461323906,0
1423,CUST01423,59,Male,Tier 3,Home,341,25470,766170,48,20554.42252892597,0.807005203334353,1
1424,CUST01424,49,Male,Tier 3,Auto,493,53426,1354552,60,30820.2205981999,0.5768768127540879,1
1425,CUST01425,49,Female,Tier 2,MSME,626,67924,1309999,84,23831.453794932895,0.350854687517415,0
1426,CUST01426,64,Female,Tier 1,MSME,672,120267,384036,48,10302.724213057956,0.08566542952811625,0
1427,CUST01427,36,Male,Tier 3,MSME,764,73954,987573,12,88207.32992647967,1.1927323731844075,0
1428,CUST01428,64,Male,Tier 3,Auto,462,139507,1861361,36,62716.608194799555,0.44955886224203484,0
1429,CUST01429,30,Female,Tier 2,Auto,575,29735,326839,36,11012.497578803948,0.3703547193140726,1
1430,CUST01430,50,Female,Tier 1,Home,663,62011,1545253,84,28111.18594058578,0.45332579607788587,1
1431,CUST01431,45,Female,Tier 2,Personal,779,125721,1085418,36,36572.02199550917,0.29089827471551427,1
1432,CUST01432,59,Female,Tier 1,Home,759,140373,1362123,48,36542.349189302935,0.2603232045286696,0
1433,CUST01433,40,Female,Tier 3,Personal,564,51671,1729559,72,34719.34932675324,0.6719310508167684,1
1434,CUST01434,25,Male,Tier 3,Home,838,137908,733687,72,14728.110026600774,0.1067966327305216,0
1435,CUST01435,21,Female,Tier 1,Auto,685,116974,642109,24,30527.032160447892,0.26097279874542967,0
1436,CUST01436,50,Male,Tier 2,Auto,384,101814,189934,72,3812.755098280863,0.03744823991082624,0
1437,CUST01437,23,Male,Tier 1,Personal,615,143338,1296912,24,61657.56021683359,0.4301550197214527,0
1438,CUST01438,34,Male,Tier 2,Auto,542,75854,1896438,12,169384.6757162389,2.233035511854865,0
1439,CUST01439,50,Female,Tier 1,Personal,768,66488,1787953,24,85002.54432248931,1.2784644495621662,1
1440,CUST01440,24,Male,Tier 2,MSME,641,51091,214718,12,19178.026806275444,0.3753699635214704,0
1441,CUST01441,38,Male,Tier 1,MSME,476,22859,1127498,60,25654.04435121663,1.122273255663705,1
1442,CUST01442,57,Male,Tier 1,Personal,429,113997,1765479,84,32117.529261033273,0.28174012702995055,1
1443,CUST01443,45,Male,Tier 2,Personal,382,36185,1084715,36,36548.33514725086,1.0100410431739908,1
1444,CUST01444,21,Female,Tier 1,MSME,659,111726,1803585,84,32810.75221640172,0.2936715913610236,0
1445,CUST01445,35,Female,Tier 2,Personal,387,84245,142099,72,2852.510275730582,0.033859698210345804,1
1446,CUST01446,29,Male,Tier 1,Personal,831,130718,229932,48,6168.499785845186,0.04718936784410094,0
1447,CUST01447,35,Male,Tier 2,Personal,770,78906,1073510,12,95882.9886493203,1.2151545972336741,0
1448,CUST01448,44,Female,Tier 3,Personal,797,101395,503604,72,10109.399678386364,0.09970313800864307,0
1449,CUST01449,24,Female,Tier 3,MSME,806,84745,1420812,48,38116.82809581211,0.44978261957415905,0
1450,CUST01450,32,Female,Tier 3,MSME,653,103915,909546,48,24400.84158019043,0.23481539315970196,0
1451,CUST01451,57,Male,Tier 3,MSME,715,106087,333407,36,11233.79945556157,0.10589232851868344,0
1452,CUST01452,57,Female,Tier 1,Home,350,99436,126204,84,2295.8985424688954,0.02308920856097284,0
1453,CUST01453,63,Male,Tier 1,Personal,899,92916,1967466,60,44765.897610027496,0.48178890191169976,1
1454,CUST01454,26,Male,Tier 2,Auto,362,24707,455448,60,10362.841611845799,0.4194293767695713,1
1455,CUST01455,59,Female,Tier 3,Personal,388,65277,714452,84,12997.284598459537,0.1991097109006164,1
1456,CUST01456,44,Male,Tier 3,Home,489,105604,1001738,24,47624.45027611006,0.45097203018929266,1
1457,CUST01457,31,Female,Tier 1,Personal,647,96431,1601303,72,32144.72488939548,0.3333443072185861,0
1458,CUST01458,33,Male,Tier 1,MSME,837,69756,1356833,60,30872.120357813776,0.4425729737630279,1
1459,CUST01459,54,Female,Tier 1,MSME,475,95748,1401202,36,47212.03293491673,0.49308636143748935,1
1460,CUST01460,45,Male,Tier 2,MSME,663,94859,214330,72,4302.482968897287,0.04535661317215327,0
1461,CUST01461,27,Male,Tier 2,Auto,853,113470,1064230,48,28550.625955021576,0.2516138711114971,0
1462,CUST01462,24,Female,Tier 1,MSME,782,76579,1477117,12,131932.0663475124,1.7228230500204023,1
1463,CUST01463,28,Female,Tier 2,MSME,418,133877,1681961,12,150228.17437341,1.122135799079827,0
1464,CUST01464,40,Female,Tier 2,Home,468,87884,1973639,60,44906.3523299295,0.510973013630803,0
1465,CUST01465,49,Female,Tier 2,Personal,446,83879,1116878,24,53098.41572894434,0.633035869871414,1
1466,CUST01466,30,Male,Tier 1,MSME,736,131506,1698626,12,151716.64677314632,1.1536861190603191,0
1467,CUST01467,63,Female,Tier 3,MSME,738,57115,1401654,24,66637.18579839317,1.1667195272414106,0
1468,CUST01468,54,Female,Tier 2,MSME,488,77023,650727,12,58121.162872079665,0.7545948985638012,0
1469,CUST01469,46,Male,Tier 3,Home,459,102943,1841881,24,87566.37973103933,0.850629763374288,0
1470,CUST01470,61,Female,Tier 3,Home,701,57495,92446,84,1681.7742437409236,0.029250791264299913,0
1471,CUST01471,23,Female,Tier 1,Home,885,124229,383779,24,18245.55313117326,0.146870321190489,0
1472,CUST01472,26,Male,Tier 1,Home,317,147139,1386796,48,37204.2639954898,0.25285114072740605,0
1473,CUST01473,25,Female,Tier 2,Personal,439,32265,492565,36,16596.46146850151,0.5143797138850615,1
1474,CUST01474,25,Female,Tier 1,MSME,414,87445,158463,12,14153.483461110975,0.16185583465162073,0
1475,CUST01475,43,Female,Tier 3,Personal,627,94772,570712,72,11456.532730580451,0.12088520586861574,0
1476,CUST01476,29,Female,Tier 2,Auto,524,111901,1145154,60,26055.772608885454,0.2328466466688006,1
1477,CUST01477,55,Female,Tier 3,Home,857,68709,1763662,36,59424.74277802993,0.8648756753559204,0
1478,CUST01478,40,Female,Tier 1,Personal,738,56060,1935873,48,51934.624958350636,0.9264114334347242,1
1479,CUST01479,62,Male,Tier 1,Personal,849,46411,1697940,48,45551.478377859436,0.9814802175747007,0
1480,CUST01480,55,Female,Tier 2,Home,685,67684,1742335,48,46742.48505806313,0.6905987391120963,0
1481,CUST01481,38,Male,Tier 1,MSME,820,86947,1368822,60,31144.90695054098,0.35820565345027405,0
1482,CUST01482,37,Male,Tier 2,Home,552,129025,62754,12,5605.016320015133,0.04344132005437034,0
1483,CUST01483,44,Male,Tier 3,MSME,397,87740,1004116,12,89684.90561857914,1.022166692712322,0
1484,CUST01484,23,Male,Tier 2,Personal,370,33899,1263011,84,22976.64982110062,0.6777972748783332,0
1485,CUST01485,52,Female,Tier 2,MSME,850,72852,517082,84,9406.736792311665,0.12912118805676803,0
1486,CUST01486,55,Female,Tier 1,Auto,746,145320,508993,24,24198.454904763606,0.16651840699672177,0
1487,CUST01487,58,Female,Tier 1,Personal,389,118024,1772683,24,84276.58069156366,0.7140630777770933,1
1488,CUST01488,33,Male,Tier 3,Personal,729,15678,1279532,72,25685.459983012563,1.6383122836466746,0
1489,CUST01489,45,Female,Tier 3,Home,518,60797,1454091,24,69130.13634946378,1.137064926714538,1
1490,CUST01490,29,Female,Tier 2,Auto,406,53894,1053185,60,23963.195234081202,0.4446356780732772,0
1491,CUST01491,24,Female,Tier 3,Auto,775,113202,1527186,36,51456.93178409946,0.45455850412624743,0
1492,CUST01492,34,Male,Tier 2,MSME,753,93763,1421204,84,25854.4910791335,0.27574300181450573,0
1493,CUST01493,57,Male,Tier 1,Home,843,85442,1355014,12,121026.15903128064,1.4164715132052226,0
1494,CUST01494,54,Female,Tier 1,MSME,425,22898,1928092,24,91665.00779821229,4.0031883919212286,0
1495,CUST01495,31,Male,Tier 3,MSME,446,65352,1850591,84,33665.88364557428,0.5151469525886626,0
1496,CUST01496,61,Male,Tier 1,MSME,579,62207,1260741,60,28685.73206284819,0.4611335068858519,0
1497,CUST01497,23,Female,Tier 2,Personal,323,86880,581467,60,13230.16112380588,0.15228086008063857,1
1498,CUST01498,48,Male,Tier 2,Home,419,135618,739638,72,14847.571026684325,0.1094808287003519,0
1499,CUST01499,49,Male,Tier 2,Personal,596,122394,1092202,24,51925.27371475172,0.4242468888569024,1
1500,CUST01500,29,Female,Tier 2,Personal,381,127382,1406533,84,25587.596784843612,0.2008729395428209,0
1501,CUST01501,23,Male,Tier 1,Home,747,32442,1314364,84,23910.861714950297,0.7370341444716817,0
1502,CUST01502,45,Male,Tier 1,Auto,769,71436,1302091,72,26138.311722364753,0.3658983106887949,0
1503,CUST01503,54,Male,Tier 2,Auto,722,143934,152816,84,2780.023071106516,0.019314568282035628,0
1504,CUST01504,32,Male,Tier 2,MSME,844,136751,414750,48,11126.703921939055,0.08136469877323789,0
1505,CUST01505,62,Male,Tier 2,Auto,323,27686,1293476,48,34700.72207868365,1.2533671197964187,0
1506,CUST01506,29,Male,Tier 2,MSME,360,58604,1214907,48,32592.912553806418,0.5561550841889021,1
1507,CUST01507,35,Male,Tier 1,Home,383,56163,1732128,24,82348.52207648903,1.4662415126771902,0
1508,CUST01508,60,Male,Tier 3,Personal,524,17491,119942,60,2729.049087070332,0.15602590401179647,0
1509,CUST01509,45,Female,Tier 2,Auto,485,101742,407683,60,9276.041077888429,0.09117219120804022,0
1510,CUST01510,25,Female,Tier 1,MSME,674,74382,856180,12,76471.66511888575,1.028093693620577,0
1511,CUST01511,31,Female,Tier 2,Personal,371,94464,1973696,84,35905.405293625314,0.38009617731225986,0
1512,CUST01512,54,Female,Tier 3,MSME,373,54772,125127,48,3356.8440786991396,0.0612875936372442,0
1513,CUST01513,44,Male,Tier 3,Personal,640,92096,1370462,24,65154.261268214184,0.7074602726308872,1
1514,CUST01514,35,Female,Tier 1,Personal,452,22011,1101987,12,98426.47670976378,4.471694912078678,0
1515,CUST01515,58,Female,Tier 2,Auto,395,53118,1704866,60,38790.94062861424,0.7302786367825265,0
1516,CUST01516,28,Male,Tier 1,MSME,864,78849,1399184,84,25453.90404619346,0.3228183495820297,0
1517,CUST01517,25,Male,Tier 1,Auto,744,138793,1734931,84,31561.801164654873,0.22740196670332707,0
1518,CUST01518,46,Male,Tier 2,MSME,409,122915,341842,12,30532.396163855898,0.24840252340117885,0
1519,CUST01519,38,Male,Tier 2,MSME,757,30096,1222935,48,32808.28369084156,1.090121068940775,1
1520,CUST01520,26,Male,Tier 2,Auto,350,75047,1470136,84,26744.66022971579,0.35637214318648036,0
1521,CUST01521,57,Female,Tier 1,Auto,676,80891,1961019,84,35674.78577425289,0.44102292930304837,0
1522,CUST01522,33,Male,Tier 1,Personal,372,133160,134360,84,2444.2721955415104,0.018355904141945857,1
1523,CUST01523,48,Female,Tier 2,MSME,511,23432,1432016,36,48250.278371946166,2.059161760496166,0
1524,CUST01524,25,Female,Tier 1,Auto,731,139790,657990,48,17652.224023138468,0.12627672954530703,0
1525,CUST01525,33,Male,Tier 1,Personal,467,71862,1490490,48,39986.11435469787,0.5564291886490478,0
1526,CUST01526,37,Female,Tier 1,Personal,630,112186,883565,24,42006.29047536499,0.37443433650691704,0
1527,CUST01527,60,Female,Tier 2,Auto,793,61618,227734,36,7673.258465517695,0.1245294956914813,0
1528,CUST01528,52,Male,Tier 1,Personal,442,97774,243493,84,4429.615731683455,0.045304638571434686,1
1529,CUST01529,49,Female,Tier 2,MSME,881,125239,1064931,72,21377.536931604332,0.17069392866123437,0
1530,CUST01530,23,Female,Tier 1,Home,744,74658,75180,36,2533.1113116074907,0.03392953617304898,0
1531,CUST01531,60,Female,Tier 1,Auto,693,108312,1530986,36,51584.96880171197,0.4762627299072307,0
1532,CUST01532,54,Male,Tier 2,MSME,811,136051,524840,60,11941.722856530598,0.08777387050834318,0
1533,CUST01533,60,Male,Tier 1,Personal,627,143081,717885,12,64119.532474329346,0.44813450055793114,1
1534,CUST01534,47,Male,Tier 2,MSME,558,100544,189994,60,4322.947359964322,0.04299557765718811,0
1535,CUST01535,33,Female,Tier 1,Home,736,69598,1292430,72,25944.375791965293,0.37277473191708516,0
1536,CUST01536,53,Male,Tier 2,Auto,863,57020,1571610,36,52953.751907893704,0.9286873361608857,0
1537,CUST01537,26,Female,Tier 1,MSME,648,23573,1476768,24,70208.2422603021,2.9783329343020446,0
1538,CUST01538,44,Male,Tier 1,MSME,814,81668,1526638,72,30645.891824156282,0.37524969172939565,0
1539,CUST01539,39,Female,Tier 2,MSME,748,66628,788257,84,14339.942453415933,0.21522396670192612,0
1540,CUST01540,36,Male,Tier 3,Personal,698,67287,1586914,48,42572.92881875827,0.6327065973926356,0
1541,CUST01541,60,Male,Tier 1,Auto,895,128838,418241,84,7608.624942955321,0.059055751742151545,0
1542,CUST01542,48,Female,Tier 2,MSME,513,15944,903605,48,24241.45942708557,1.5204126584975897,1
1543,CUST01543,53,Male,Tier 2,MSME,845,54442,63916,60,1454.2854166946304,0.02671256413604626,0
1544,CUST01544,61,Female,Tier 2,Personal,861,59278,1784862,84,32470.144086622597,0.5477604522187421,1
1545,CUST01545,33,Male,Tier 3,MSME,588,48602,92941,72,1865.7074119921745,0.038387461668083094,0
1546,CUST01546,63,Male,Tier 1,Personal,558,35134,634582,60,14438.690598549843,0.410960624994303,0
1547,CUST01547,45,Female,Tier 3,Personal,557,84720,69684,24,3312.9043652536425,0.039104159174381994,1
1548,CUST01548,62,Female,Tier 1,Auto,687,87714,1987316,48,53314.71182961359,0.6078244274530131,0
1549,CUST01549,56,Female,Tier 1,Home,844,23146,722326,84,13140.528117867796,0.5677234994326361,1
1550,CUST01550,47,Male,Tier 3,Home,564,127188,1343653,60,30572.234855090897,0.24037043475084832,0
